date,inflow,outflow,local
1910-06-01,461173.0,189624.0,271572.2453918457
1910-07-01,1072318.0,434913.0,628200.1419067383
1910-08-01,1126362.0,600640.0,462926.97106933594
1910-09-01,2402554.0,730785.0,1470176.238494873
1910-10-01,1325189.0,786935.0,955537.2059783936
1910-11-01,847151.0000000001,402779.0,726499.475959778
1910-12-01,605238.0,83814.0,508371.70584106445
1911-01-01,478526.00000000006,62000.0,323101.439819336
1911-02-01,788685.0000000001,174020.0,385839.45584106457
1911-03-01,1242193.0,398233.0,572143.0084991455
1911-04-01,593847.0,328578.0,207389.95204162598
1911-05-01,398123.9999999999,121365.0,322187.01972961414
1911-06-01,1384301.0,256744.00000000003,821417.9938354492
1911-07-01,1495269.0,684867.0,840724.5482330322
1911-08-01,1331716.0,672098.0,721750.5755767822
1911-09-01,774355.0,274599.0,500818.25050354004
1911-10-01,543789.0,77500.0,402018.6450881958
1911-11-01,348335.99999999994,75000.0,264207.4450836181
1911-12-01,360464.0,62000.0,263516.274810791
1912-01-01,362083.0,62000.0,196758.98538208008
1912-02-01,289211.0,58000.0,171379.27556610107
1912-03-01,213388.0,62000.0,143704.1463470459
1912-04-01,222348.00000000003,60000.0,168380.70007324222
1912-05-01,176772.0,62000.0,143300.6563911438
1912-06-01,220042.0,60000.0,182494.62797927856
1912-07-01,869742.0000000001,62000.0,588300.7286071779
1912-08-01,1293034.0,150343.0,538635.4280395508
1912-09-01,2317931.0,536999.0,1654240.6877441406
1912-10-01,1140674.0,511201.0,825791.6152648926
1912-11-01,783160.0,277346.0,664875.8356781006
1912-12-01,938853.0000000001,62000.0,796915.4300231935
1913-01-01,451446.0,62000.0,347159.05184936523
1913-02-01,274747.0,56000.0,183478.5358428955
1913-03-01,447712.0,96404.0,392617.88081359863
1913-04-01,334509.0,60000.0,270794.4215698242
1913-05-01,371299.99999999994,62000.0,311431.91699981684
1913-06-01,519557.0,87093.0,360384.7687072754
1913-07-01,721674.0,172961.0,354897.7012023926
1913-08-01,1166255.0,107166.0,641220.4020080566
