date,inflow,outflow,local
1906-12-01,1017869.0,1297827.0,807402.3617095947
1907-01-01,414775.00000000006,167646.0,325033.3115768433
1907-02-01,415533.0,56000.0,194889.10374450684
1907-03-01,279341.99999999994,62000.0,178440.1327877044
1907-04-01,275150.00000000006,149742.0,159563.8389587403
1907-05-01,440103.00000000006,102009.0,274706.453781128
1907-06-01,511347.99999999994,147388.0,328481.899230957
1907-07-01,653217.9999999999,190898.0,366828.1144104003
1907-08-01,1081803.0,230525.0,720998.521697998
1907-09-01,786276.0,253755.0,581392.2307739258
1907-10-01,626245.0,257029.0,495435.4955177307
1907-11-01,597562.9999999999,75000.0,502301.98804855335
1907-12-01,408178.0,62000.0,318803.0291213989
1908-01-01,278691.99999999994,48775.0,184535.10787200922
1908-02-01,246112.00000000003,53677.0,149393.13486480716
1908-03-01,412493.0,148829.0,194314.75624084473
1908-04-01,614311.0,60000.0,143999.43183135986
1908-05-01,910787.9999999999,62000.0,221372.14739227283
1908-06-01,596854.9999999999,79529.0,407655.3434448241
1908-07-01,726710.0,182962.0,526455.8060150146
1908-08-01,903310.9999999999,357891.0,427666.3302307128
1908-09-01,1206993.0,419327.0,791301.6861572266
1908-10-01,1097857.0,356481.0,836684.9635009766
1908-11-01,550141.9999999999,355584.0,449931.18891906727
1908-12-01,296306.0,392233.0,215390.86027526855
1909-01-01,240216.00000000003,62000.0,147070.32450866702
1909-02-01,210222.99999999997,56000.0,133069.30989074704
1909-03-01,271906.0,52424.0,192808.09963989258
1909-04-01,334831.0,60000.0,219829.271774292
1909-05-01,1012486.0,64180.00000000001,685291.9996337891
1909-06-01,2037619.0000000002,690083.0,1547562.561431885
1909-07-01,1931634.0,1129601.0,1034711.0185852051
1909-08-01,3897104.999999999,1435782.0,2197637.557434081
1909-09-01,2088207.9999999995,1498167.0,1060486.6820983882
1909-10-01,1360111.9999999998,1550976.0,783299.6658935545
1909-11-01,557367.0,762478.0,423301.9213256836
1909-12-01,368955.0000000001,77266.0,275684.073123932
1910-01-01,276306.99999999994,62000.0,170811.49318695063
1910-02-01,540086.0,50385.0,138589.7689666748
1910-03-01,1265114.0,62000.0,173784.74404478073
1910-04-01,1205992.0,281515.0,140419.14781188965
1910-05-01,829985.0000000001,494246.0,192239.95406341564
1910-06-01,521924.99999999994,288210.0,289868.36480712885
1910-07-01,1267932.9999999998,588540.0,646499.4116821287
1910-08-01,1182564.0,713920.0,451116.2014770508
1910-09-01,2509212.0,847711.0,1451495.4196777344
1910-10-01,1358735.0000000002,813058.0,951519.6463928225
1910-11-01,898394.0,685063.0,736402.4638824463
1910-12-01,597346.0,173043.0,497387.92529296875
1911-01-01,470430.0,62000.0,350777.3694152832
1911-02-01,809614.9999999999,130389.00000000001,402373.05987548816
1911-03-01,1380648.0000000002,312558.0,597796.2743835452
1911-04-01,729526.0,227081.0,306662.4232330322
1911-05-01,538529.0,168482.0,350538.9833755493
1911-06-01,1621566.0,468675.0,842655.9418334961
1911-07-01,1740566.0,922335.0,803971.8150634766
1911-08-01,1568626.0,996863.0,861107.6349487305
1911-09-01,786214.9999999999,769129.0,510065.80294799793
1911-10-01,556300.0000000001,622856.0,397332.19611358654
1911-11-01,438592.9999999999,353408.0,354246.7671203612
1911-12-01,411666.0,88809.0,314539.055519104
1912-01-01,361548.0,62000.0,193330.84315490723
1912-02-01,236556.0,58000.0,146111.64040374756
1912-03-01,229304.00000000003,62000.0,162350.4475746155
1912-04-01,200603.0,60000.0,144360.06106567383
1912-05-01,202219.0,62000.0,161591.02082443237
1912-06-01,242257.0,60000.0,194162.11613464355
1912-07-01,966721.9999999999,75282.0,580032.054824829
1912-08-01,1395421.9999999998,386934.0,447826.0748901365
1912-09-01,2520431.0,744535.0,1658253.6824951172
1912-10-01,1199837.0,788165.0,788841.701751709
1912-11-01,898291.9999999999,633441.0,711136.1582336425
1912-12-01,1001944.9999999999,243276.0,801312.3958053588
1913-01-01,444954.00000000006,62000.0,355063.95243072516
1913-02-01,262894.0,56000.0,185929.3627166748
1913-03-01,478670.0,62000.0,412116.46915626526
1913-04-01,372119.0,60000.0,258438.6787109375
